Tên phim,ID phim,Đạo diễn,Diễn viên chính,Thể loại phim,Thời lượng (phút),Độ phổ biến,Năm phát hành,Link Poster,Link Backdrop,Điểm đánh giá,Mô tả
Bổ Phong Truy Ảnh,1419406,Larry Yang,"Thành Long, Trương Tử Phong, Lương Gia Huy, Thử Sa, 文俊辉","Phim Hành Động, Phim Hình Sự, Phim Gây Cấn",142,569.877,2025,https://image.tmdb.org/t/p/w500/5LGUvRBXoXHsMZsZrCGBOVmwOVd.jpg,https://image.tmdb.org/t/p/original/4BtL2vvEufDXDP4u6xQjjQ1Y2aT.jpg,6.3,"Wong Tak-Chung, một cựu chuyên gia giám sát được biết đến với khả năng phân tích dữ liệu và truy vết bậc thầy, bị cảnh sát Ma Cao mời trở lại hợp tác điều tra sau khi xuất hiện hàng loạt vụ cướp quy mô lớn do một tổ chức tội phạm công nghệ cao thực hiện."
Frankenstein,1062722,Guillermo del Toro,"Oscar Isaac, Jacob Elordi, Christoph Waltz, Mia Goth, Felix Kammerer","Phim Chính Kịch, Phim Kinh Dị, Phim Giả Tượng",150,384.5713,2025,https://image.tmdb.org/t/p/w500/g4JtvGlQO7DByTI6frUobqvSL3R.jpg,https://image.tmdb.org/t/p/original/hpXBJxLD2SEf8l2CspmSeiHrBKX.jpg,7.8,Guillermo del Toro mang đến phiên bản mới đầy viễn kiến cho câu chuyện gothic của Mary Shelley về một nhà khoa học lỗi lạc mà kiêu ngạo bị chính tạo vật bi thảm của mình hủy hoại.
Thần Thoại 2,1116465,唐季禮,"Thành Long, Trương Nghệ Hưng, Cổ Lực Na Trát, Lý Trị Đình, Lý Thần","Phim Hành Động, Phim Phiêu Lưu, Phim Giả Tượng",129,300.6833,2024,https://image.tmdb.org/t/p/w500/2eLjgesRLYQ8kjfwusSwxgNFcHv.jpg,https://image.tmdb.org/t/p/original/7FDVhmCur4LMOfnXMteiSCtsdOb.jpg,6.672,Một nhà khảo cổ học nhận thấy rằng kết cấu của các di tích được phát hiện trong quá trình khai quật sông băng gần giống với mặt dây chuyền ngọc bích được nhìn thấy trong một trong những giấc mơ của ông. Ông và nhóm của mình sau đó bắt tay vào một cuộc thám hiểm vào độ sâu của sông băng.
Trận Chiến Sau Trận Chiến,1054867,Paul Thomas Anderson,"Leonardo DiCaprio, Sean Penn, Chase Infiniti, Benicio del Toro, Regina Hall","Phim Hành Động, Phim Gây Cấn, Phim Hình Sự",162,309.9881,2025,https://image.tmdb.org/t/p/w500/wQ0IDT8rXOvCt6LflxcMEOUNBUS.jpg,https://image.tmdb.org/t/p/original/zpEWFNqoN8Qg1SzMMHmaGyOBTdW.jpg,7.489,"Mười sáu năm sau ngày kẻ thù tàn bạo bị xóa sổ, nhóm cựu chiến sĩ cách mạng buộc phải tái hợp để giải cứu con gái của một đồng đội thân thiết trong nhóm, đối mặt với hiểm nguy mới để bảo vệ di sản tình nghĩa và lý tưởng của họ."
Biệt Kích Diệt Sói,1084222,Louis Mandylor,"Jonathan Rhys Meyers, Louis Mandylor, Peter Dobson, Quinton 'Rampage' Jackson, Sonia Couling","Phim Hành Động, Phim Phiêu Lưu, Phim Kinh Dị",94,236.2452,2024,https://image.tmdb.org/t/p/w500/wYf4Eq3c4iOa856tEwh3GHruHZW.jpg,https://image.tmdb.org/t/p/original/sUoPlzchsCECqpm3ZmDPeL8QKDK.jpg,6.784,"Phim lấy bối cảnh năm 1944, trong Thế Chiến II. Một đơn vị biệt kích bao gồm những quân nhân bị loại và không đội trời chung được giao nhiệm vụ đến một hòn đảo biệt lập ở Nam Thái Bình Dương, để điều tra sự biến mất bí ẩn của một đơn vị Thủy quân Lục chiến Hoa Kỳ. Lúc đầu, họ tin rằng người Nhật là thủ phạm Khi đến nơi, nhóm phát hiện dấu hiệu của một thảm sát kinh hoàng: xác chết nằm rải rác, thi thể bị tra tấn, có chữ “WEREWOLVES” được khắc lên tường. Họ nhanh chóng nhận ra rằng kẻ gây ra không phải là con người mà là một bầy sói biến dị—werewolves với sức mạnh siêu nhiên"
Phán Quyết Sai Lầm,1128650,Chân Tử Đan,"Chân Tử Đan, Ngô Trấn Vũ, Trương Trí Lâm, Trịnh Tắc Sĩ, Hứa Quán Văn","Phim Hành Động, Phim Chính Kịch, Phim Hình Sự, Phim Gây Cấn",117,233.2849,2024,https://image.tmdb.org/t/p/w500/5eRwqpo9MxUEvEuzV9PSw1BOw6q.jpg,https://image.tmdb.org/t/p/original/4frrYwamVG0eXhdMTy3cpNNcCBp.jpg,6.734,"Một vụ án buôn bán ma túy bất công khiến bị cáo phải đối mặt với án tù 27 năm. Công tố Tử Hào, một cựu thanh tra, đã dựa vào sự nhạy bén và kiên trì của mình để mở cuộc điều tra. Cuộc đấu tranh sinh tử ở hậu trường sắp nổ ra. Ngày xét xử cuối cùng đang đến gần. Liệu Tử Hào có thể đập tan sự bất công và lật ngược bản án?"
Quái Thú Vô Hình: Vùng Đất Chết Chóc,1242898,Dan Trachtenberg,"Elle Fanning, Dimitrius Schuster-Koloamatangi, Rohinal Nayaran, Michael Homick, Stefan Grube","Phim Hành Động, Phim Khoa Học Viễn Tưởng, Phim Phiêu Lưu",107,217.0943,2025,https://image.tmdb.org/t/p/w500/6aPy2tMgQLVz2IcifrL1Z2Q9u1t.jpg,https://image.tmdb.org/t/p/original/ArtXHnmJQO0S0XNz5kKtnMz8TPQ.jpg,7.4,"Trong tương lai, tại một hành tinh hẻo lánh, một Predator non nớt - kẻ bị chính tộc của mình ruồng bỏ - tìm thấy một đồng minh không ngờ tới là Thia và bắt đầu hành trình sinh tử nhằm truy tìm kẻ thù tối thượng. Bộ phim do Dan Trachtenberg - đạo diễn của Prey chỉ đạo và nằm trong chuỗi thương hiệu Quái Thú Vô Hình Predator."
Kế Hoạch Bảo Vệ Gia Đình 2 - The Family Plan 2,1363123,Simon Cellan Jones,"Mark Wahlberg, Michelle Monaghan, Kit Harington, Zoe Colletti, Van Crosby","Phim Hành Động, Phim Hài",106,398.4084,2025,https://image.tmdb.org/t/p/w500/fMQI7VEpvlPOoSetYd3ctLEY54G.jpg,https://image.tmdb.org/t/p/original/nxGHDkUtLhv9ZwIau9QUlS1sMv3.jpg,6.353,"Giờ đây, khi những tháng ngày làm sát thủ đã lùi vào quá khứ, Dan chỉ muốn có khoảng thời gian ý nghĩa bên các con vào dịp Giáng sinh. Nhưng khi biết con gái mình có dự định riêng, anh liền đặt một chuyến đi gia đình đến London — vô tình đặt cả nhà vào tầm ngắm của một kẻ thù bất ngờ."
Buổi Hẹn Chơi,1248226,Luke Greenfield,"Kevin James, Alan Ritchson, Sarah Chalke, Isla Fisher, Alan Tudyk","Phim Hành Động, Phim Hài, Phim Gia Đình",95,214.9257,2025,https://image.tmdb.org/t/p/w500/dOOcOlW4nxolR4JD3VuFUFi0B0a.jpg,https://image.tmdb.org/t/p/original/5lQ4euO30sDin5nCifvi0vURFNd.jpg,6.186,"Brian vừa bị đuổi việc. Anh trở thành một ông bố nội trợ. Anh nhận lời mời đi chơi cùng một ông bố nội trợ khác, hóa ra lại là một gã vô lại."
Wicked: Phần 2,967941,Jon M. Chu,"Ariana Grande, Cynthia Erivo, Jonathan Bailey, Jeff Goldblum, Dương Tử Quỳnh","Phim Lãng Mạn, Phim Giả Tượng, Phim Phiêu Lưu",137,207.1159,2025,https://image.tmdb.org/t/p/w500/oQSPp51Uv74civ9gv3wqJmqlJVX.jpg,https://image.tmdb.org/t/p/original/l8pwO23MCvqYumzozpxynCNfck1.jpg,6.6,
Nahual,1481331,Ricardo Islas,"Jenny Sanchez, Diego Herrera, Miriam Román, Kristy V Acosta",Không rõ,98,231.6562,2025,https://image.tmdb.org/t/p/w500/gQZn4Rx3LpIBnFunH1AKxAMYYd9.jpg,,3.25,
Cuộc Chiến Giữa Các Thế Giới,755898,Rich Lee,"Ice Cube, Eva Longoria, Clark Gregg, Iman Benson, Henry Hunter Hall","Phim Khoa Học Viễn Tưởng, Phim Gây Cấn",91,213.3482,2025,https://image.tmdb.org/t/p/w500/3e6GQvCA9hguxqfqA75BDvG7Vvp.jpg,https://image.tmdb.org/t/p/original/iZLqwEwUViJdSkGVjePGhxYzbDb.jpg,4.294,Will Radford — chuyên gia phân tích an ninh mạng hàng đầu của Bộ An ninh Nội địa — chuyên theo dõi các mối đe dọa đến an ninh quốc gia thông qua một chương trình giám sát diện rộng. Nhưng một cuộc tấn công bất ngờ từ một thực thể bí ẩn đã khiến anh bắt đầu nghi ngờ: phải chăng chính phủ đang che giấu điều gì đó… không chỉ với anh mà với toàn thế giới?
Ya no quedan junglas,1426968,Gabriel Beristain,"Ron Perlman, Megan Montaner, Hovik Keuchkerian, Damián Alcázar, Marco de la O","Phim Hành Động, Phim Hình Sự, Phim Gây Cấn",0,196.556,2025,https://image.tmdb.org/t/p/w500/pzKeASTj4HitqVXB1cdvswmMV50.jpg,https://image.tmdb.org/t/p/original/9YqyNdvYkumiNaC67HuO2FrGuCy.jpg,6.4,
Cựu Đặc Vụ,1296504,Fansu Njie,"Daniel Stisen, Peter Stormare, Eric Roberts, Adam Basil, Akie Kotabe","Phim Hành Động, Phim Gây Cấn, Phim Hình Sự",100,169.2665,2025,https://image.tmdb.org/t/p/w500/vKB59pPIYvjRxxEXoRoyUfaiBoD.jpg,https://image.tmdb.org/t/p/original/wE1TZtB5G1fdiln3PPnnLhExuCz.jpg,4.491,"Cựu đặc vụ Lực lượng đặc biệt, Jack Johnson, sử dụng luật Tự vệ để trả thù cho kẻ đã giết vợ mình, châm ngòi cho một cuộc chiến tàn khốc chống lại gia đình trùm tội phạm địa phương và kết thúc bằng…"
劇場版 呪術廻戦「渋谷事変 特別編集版」×「死滅回游 先行上映」,1539104,御所園翔太,"榎木淳弥, 内田雄馬, 瀬戸麻沙美, 津田健次郎, 木村昴","Phim Hoạt Hình, Phim Hành Động",88,204.3238,2025,https://image.tmdb.org/t/p/w500/qg4Qfsr0wWLTkRSIjI04NQzxB3w.jpg,https://image.tmdb.org/t/p/original/gtKglOSEq3d4MgQE4VsrT1sRkd0.jpg,3.517,
Phi Vụ Thế Kỷ 3: Thoắt Ẩn Thoắt Hiện,425274,Ruben Fleischer,"Jesse Eisenberg, Isla Fisher, Woody Harrelson, Dave Franco, Rosamund Pike","Phim Gây Cấn, Phim Hình Sự, Phim Bí Ẩn",112,173.2076,2025,https://image.tmdb.org/t/p/w500/8ZWy2qPuEjPA565yj6vVjw6ex1z.jpg,https://image.tmdb.org/t/p/original/ufqytAlziHq5pljKByGJ8IKhtEZ.jpg,6.218,
Thanh Gươm Diệt Quỷ: Vô Hạn Thành,1311031,外崎春雄,"Harae Natsuki, 下野紘, 櫻井孝宏, 石田彰, 松岡禎丞","Phim Hoạt Hình, Phim Hành Động, Phim Giả Tượng, Phim Gây Cấn",155,159.5984,2025,https://image.tmdb.org/t/p/w500/nV99ACeAa8fFFso0tQZ3HktEf5X.jpg,https://image.tmdb.org/t/p/original/1RgPyOhN4DRs225BGTlHJqCudII.jpg,7.6,"Khi các thành viên của Sát Quỷ Đoàn và Trụ Cột tham gia vào chương trình đặc huấn để chuẩn bị cho trận chiến sắp với lũ quỷ, Kibutsuji Muzan xuất hiện tại Dinh thự Ubuyashiki. Khi thủ lĩnh của Sát Quỷ Đoàn gặp nguy hiểm, Tanjiro và các Trụ Cột trở về trụ sở Thế nhưng, Muzan bất ngờ kéo toàn bộ Sát Quỷ Đoàn đến hang ổ cuối cùng của lũ quỷ là Vô Hạn Thành, mở màn cho trận đánh cuối cùng của cả hai phe."
